商品名称,商品条码,商品分类,商品分类,现有库存,销售数量,商品总售价,实收金额
ALPHA 字母笔   （单支）,695897A000000,商品--文创,书写文具,3424,42,189,186.75
三体（普通版）套装,102122035,商品--图书,文学类,98,1,93,93
单铜字漂流瓶,6971778263406,商品--文创,创意手办,3939,38,1102,1049.8
滴水湖开业帆布袋,6958210570185,商品--文创,自有文创,7,35,1330,1159
水音铃-水滴,6958210570177-1,商品--文创,自有文创,470,30,870,859.85
水滴手捻,6958210570178-1,商品--文创,自有文创,481,19,551,551
迪士尼松松系列出游立体冰箱贴（玛丽猫）,6975568812393,商品--文创,生活美学,25,13,180.7,178.62
盛唐夜宴感应书立,6971683355241,商品--文创,生活美学,4,10,1390,1271.85
3字木章,6971778263420,商品--文创,创意手办,441,9,189,184.8
迪士尼松松系列出游立体冰箱贴（小熊维尼）,6975568812409,商品--文创,生活美学,65,9,125.1,123.02
迪士尼松松系列出游立体冰箱贴（草莓熊）,6975568812485,商品--文创,生活美学,68,9,125.1,123.02
朵云书院长柄伞,695921030100,商品--文创,自有文创,3,8,632,608.3
迪士尼松松系列出游立体冰箱贴（跳跳虎）,6975568812478,商品--文创,生活美学,80,7,97.3,95.2
蒸汽时代感应书立,6971683355135,商品--文创,儿童玩具,9,6,834,729.75
小铜活字（不单售）,6971778263604,商品--文创,生活美学,2994,6,114,114
朵云书院 手提袋,6958210570021,商品--文创,自有文创,453,6,59.4,57.92
计客超级积木,6971421890201,商品--文创,科技潮品,19,5,1145,1122.1
上海旧时光感应书立,6971683355098,商品--文创,生活美学,10,5,695,590.75
巴黎圣母院感应书立,6971683355173,商品--文创,儿童玩具,10,5,695,590.75
埃及寻宝记感应书立,6971683355227,商品--文创,儿童玩具,8,5,695,590.75
筑梦天宫感应书立,6971683355234,商品--文创,生活美学,9,5,695,590.75
迪士尼皮克斯玩具总动员系列-草莓熊大肚杯,6975568812966,商品--文创,生活美学,23,5,245,230.3
海洋生物,4991685190130,商品--文创,书写文具,42,5,195,195
乐器徽章,6958210581555,商品--文创,自有文创,150,5,95,95
计客超级华容道,6971421890157,商品--文创,科技潮品,59,4,796,776.1
三丽鸥家族-生日许愿系列毛绒盲盒,6951144446701,商品--文创,生活美学,8,4,276,276
甜宝小猪圣诞礼物,6974720740383,商品--文创,生活美学,48,4,276,234.6
美味下午茶 ER-BRI017,4991685200891,商品--文创,书写文具,44,4,156,156
和风福猫笑脸水音鈴挂件 亮光红色,4589484953850,商品--文创,生活美学,6,4,116,116
品轩阁-1/12系列-兔萝萝-YCSQ-41854,6925960341854,商品--文创,书写文具,37,4,100,100
